0	0
1	0
2	-101.98
3	-102.26
4	-102.83
5	-103.12
6	-100.89
7	-102.90
8	-99.82
9	-101.76
10	-98.92
11	-99.40
12	-101.46
13	-101.29
14	-101.57
15	-103.05
16	-100.55
17	-101.41
18	-100.89
19	-100.11
20	-105.11
21	-106.16
22	-104.39
23	-107.71
24	-103.40
25	-101.71
26	-101.47
27	-101.31
28	-103.19
29	-103.51
30	-98.37
31	-101.07
32	-103.18
33	-103.59
34	-101.35
35	-99.90
36	-103.25
37	-101.81
38	-102.77
39	-103.34
40	-100.84
41	-101.71
42	-103.45
43	-101.55
44	-101.53
45	-101.34
46	-101.73
47	-103.33
48	-107.13
49	-106.49
50	-106.60
51	-106.71
52	-108.66
53	-109.24
54	-104.54
55	-107.09
56	-106.71
57	-106.60
58	-103.89
59	-103.01
60	-102.98
61	-103.21
62	-104.81
63	-104.46
64	-102.07
65	-103.16
66	-102.88
67	-103.26
68	-102.91
69	-104.18
70	-102.22
71	-104.77
