id	layer_id	x
0	0	0.483
1	0	0.441
2	0	0.39899999999999997
3	0	0.357
4	0	0.31499999999999995
5	0	0.27299999999999996
6	0	0.231
7	0	0.18899999999999997
8	0	0.147
9	0	0.105
10	0	0.06299999999999996
11	0	0.02099999999999998
12	0	-0.021
13	0	-0.06300000000000004
14	0	-0.10500000000000008
15	0	-0.147
16	0	-0.18900000000000003
17	0	-0.23100000000000007
18	0	-0.273
19	0	-0.31500000000000006
20	0	-0.3570000000000001
21	0	-0.399
22	0	-0.44100000000000006
23	0	-0.4830000000000001
24	1	0.483
25	1	0.441
26	1	0.39899999999999997
27	1	0.357
28	1	0.31499999999999995
29	1	0.27299999999999996
30	1	0.231
31	1	0.18899999999999997
32	1	0.147
33	1	0.105
34	1	0.06299999999999996
35	1	0.02099999999999998
36	1	-0.021
37	1	-0.06300000000000004
38	1	-0.10500000000000008
39	1	-0.147
40	1	-0.18900000000000003
41	1	-0.23100000000000007
42	1	-0.273
43	1	-0.31500000000000006
44	1	-0.3570000000000001
45	1	-0.399
46	1	-0.44100000000000006
47	1	-0.4830000000000001
48	2	0.483
49	2	0.441
50	2	0.39899999999999997
51	2	0.357
52	2	0.31499999999999995
53	2	0.27299999999999996
54	2	0.231
55	2	0.18899999999999997
56	2	0.147
57	2	0.105
58	2	0.06299999999999996
59	2	0.02099999999999998
60	2	-0.021
61	2	-0.06300000000000004
62	2	-0.10500000000000008
63	2	-0.147
64	2	-0.18900000000000003
65	2	-0.23100000000000007
66	2	-0.273
67	2	-0.31500000000000006
68	2	-0.3570000000000001
69	2	-0.399
70	2	-0.44100000000000006
71	2	-0.4830000000000001
